Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Antero,05L05,SNOW,9300,38.92,-105.97,CO
Antero Reservoir,05L06,SNOW,9000,39,-105.88,CO
Apishapa,05M07S,SNTL,10000,37.33,-105.07,CO
Arapaho Ridge,06J08S,SNTL,10960,40.35,-106.38,CO
Baltimore,05K23,SNOW,8800,39.9,-105.58,CO
Bear Lake,05J39S,SNTL,9500,40.31,-105.64,CO
Bear River,07J03S,SNTL,9080,40.06,-107.01,CO
Beartown,07M32S,SNTL,11600,37.71,-107.51,CO
Beaver Ck Village,06K45S,SNTL,8500,39.6,-106.51,CO
Bennett Creek,05J33,SNOW,9200,40.67,-105.62,CO
Berthoud Falls,05K13,SNOW,10500,39.78,-105.78,CO
Berthoud Pass,05K03,SNOW,9700,39.83,-105.75,CO
Berthoud Summit,05K14,SNOW,11300,39.8,-105.78,CO
Berthoud Summit,05K14S,SNTL,11300,39.8,-105.78,CO
Big Meadows,06M25,SNOW,9260,37.53,-106.8,CO
Big South,05J03,SNOW,8600,40.62,-105.82,CO
Bison Lake,07K12S,SNTL,10880,39.76,-107.36,CO
Black Mesa,08M12S,SNTL,11580,37.79,-108.18,CO
Black Mountain,05J28S,SNTL,8920,40.89,-105.66,CO
Blue River,06K21,SNOW,10500,39.38,-106.05,CO
Boulder Falls,05J25,SNOW,10000,40.02,-105.57,CO
Brown Cabin,05M04,SNOW,9600,37.55,-105.4,CO
Brumley,06K40S,SNTL,10600,39.09,-106.54,CO
Buckskin Joe,06K16S,SNTL,11150,39.3,-106.11,CO
Buffalo Park,06J18S,SNTL,9240,40.23,-106.6,CO
Burro Mountain,07K02S,SNTL,9400,39.88,-107.6,CO
Butte,06L11S,SNTL,10160,38.89,-106.95,CO
Butterhill,06J37,SNOW,7880,40.93,-106.98,CO
Cameron Pass,05J01,SNOW,10285,40.52,-105.57,CO
Cascade,07M05S,SNTL,8880,37.65,-107.81,CO
Cascade #2,07M35S,SNTL,8920,37.66,-107.8,CO
Chambers Lake,05J02,SNOW,9000,40.62,-105.83,CO
Chapman Tunnel,06K46S,SNTL,10110,39.26,-106.63,CO
Cochetopa Pass,06L06,SNOW,10000,38.17,-106.6,CO
Cochetopa Pass,06L06S,SNTL,10020,38.16,-106.6,CO
Columbine,06J03S,SNTL,9160,40.39,-106.6,CO
Columbine Ditch,06K47,SNOW,11576,39.38,-106.25,CO
Columbine Lodge,06J03,SNOW,9160,40.4,-106.6,CO
Columbine Pass,08L02S,SNTL,9400,38.42,-108.38,CO
Columbus Basin,08M10S,SNTL,10785,37.44,-108.02,CO
Como,05K25,SNOW,10370,39.35,-105.92,CO
Copeland Lake,05J18,SNOW,8600,40.2,-105.57,CO
Copeland Lake,05J18S,SNTL,8600,40.21,-105.57,CO
Copper Mountain,06K24S,SNTL,10550,39.49,-106.17,CO
Corral Creek,06J17,SNOW,9700,40.15,-106.15,CO
Crested Butte,07L01,SNOW,8920,38.88,-107,CO
Crosho,07J04S,SNTL,9100,40.17,-107.06,CO
Cucharas Creek,05M12,SNOW,9700,37.33,-105.08,CO
Culebra #2,05M03S,SNTL,10500,37.21,-105.2,CO
Cumbres Pass,06M07,SNOW,10020,37.02,-106.45,CO
Cumbres Trestle,06M22S,SNTL,10040,37.02,-106.45,CO
Deadman Hill,05J06,SNOW,10220,40.8,-105.77,CO
Deadman Hill,05J06S,SNTL,10220,40.81,-105.77,CO
Deer Ridge,05J17,SNOW,9000,40.4,-105.63,CO
Dry Lake,06J01S,SNTL,8400,40.53,-106.78,CO
Echo Lake,05K27S,SNTL,10600,39.66,-105.59,CO
El Diente Peak,08M06S,SNTL,10000,37.79,-108.02,CO
Eleven Mile,05L07,SNOW,8590,38.95,-105.53,CO
Elk River,06J15S,SNTL,8700,40.85,-106.97,CO
Elkhead Divide,7J06S,SNTL,8780,40.8,-107.1,CO
Elliot Ridge,06K29S,SNTL,10520,39.86,-106.42,CO
Empire #2,05K29,SNOW,9680,39.77,-105.78,CO
Ewing Upper,06K48,SNOW,11270,39.37,-106.28,CO
Fool Creek,05K30S,SNTL,11150,39.87,-105.87,CO
Fremont Pass,06K08S,SNTL,11400,39.38,-106.2,CO
Geneva Park,05K11,SNOW,9600,39.52,-105.72,CO
Glen Cove,05L11S,SNTL,11460,38.88,-105.07,CO
Gore Pass,06J11,SNOW,9400,40.08,-106.55,CO
Granby,05J16,SNOW,8600,40.15,-106,CO
Grayback,06M21,SNOW,11600,37.47,-106.53,CO
Grayback,06M21S,SNTL,11620,37.47,-106.54,CO
Grizzly Peak,05K09S,SNTL,11100,39.65,-105.87,CO
Groundhog,08M03,SNOW,8940,37.8,-108.27,CO
Hagerman Tunnel,06K42,SNOW,11150,39.25,-106.5,CO
Hayden Pass,05L12S,SNTL,10720,38.29,-105.85,CO
Hidden Valley,05J13,SNOW,9480,40.4,-105.65,CO
High Lonesome,05J46S,SNTL,10620,40.04,-105.75,CO
Hoosier Pass,06K01S,SNTL,11400,39.36,-106.06,CO
Horseshoe Mountain,06K35,SNOW,11220,39.2,-106.13,CO
Hourglass Lake,05J11,SNOW,9360,40.58,-105.63,CO
Hourglass Lake,05J11S,SNTL,9380,40.58,-105.63,CO
Idarado,07M27S,SNTL,9800,37.93,-107.68,CO
Independence Pass,06K04,SNOW,10600,39.07,-106.62,CO
Independence Pass,06K04S,SNTL,10600,39.08,-106.61,CO
Ironton Park,07M06,SNOW,9600,37.97,-107.67,CO
Ivanhoe,06K10S,SNTL,10400,39.29,-106.55,CO
Jackwhacker Gulch,05K26S,SNTL,10960,39.57,-105.8,CO
Joe Wright,05J37S,SNTL,10120,40.53,-105.89,CO
Jones Pass,05K21,SNOW,10400,39.77,-105.9,CO
Jones Pass,05K21S,SNTL,10400,39.76,-105.91,CO
Keystone,07L04,SNOW,9960,38.87,-107.03,CO
Kiln,06K30S,SNTL,9600,39.32,-106.61,CO
La Plata,08M04,SNOW,9340,37.42,-108.05,CO
La Veta Pass,05M01,SNOW,9440,37.6,-105.2,CO
Lake City,07M08,SNOW,10160,37.98,-107.25,CO
Lake Eldora,05J41S,SNTL,9700,39.94,-105.59,CO
Lake Irene,05J10,SNOW,10700,40.42,-105.82,CO
Lake Irene,05J10S,SNTL,10700,40.41,-105.82,CO
Lapland,05K07,SNOW,9300,39.89,-105.89,CO
Left Hand,05J44,SNOW,9900,40.08,-105.53,CO
Lemon Reservoir,07M23,SNOW,8700,37.45,-107.67,CO
Lily Pond,06M23S,SNTL,11000,37.38,-106.55,CO
Lizard Head Pass,07M29S,SNTL,10200,37.8,-107.92,CO
Lone Cone,08M07S,SNTL,9600,37.89,-108.2,CO
Long Draw Reservoir,05J27,SNOW,9980,40.51,-105.77,CO
Long Draw Resv,05J27S,SNTL,9980,40.51,-105.77,CO
Longs Peak,05J22,SNOW,10500,40.27,-105.58,CO
Lost Dog,06J38S,SNTL,9320,40.82,-106.75,CO
Lostman,06K49,SNOW,10626,39.12,-106.62,CO
Love Lake,07M10,SNOW,10000,37.67,-107.02,CO
Loveland Basin,05K05S,SNTL,11400,39.67,-105.9,CO
Lynx Pass,06J06S,SNTL,8880,40.08,-106.67,CO
Mancos,08M02S,SNTL,10000,37.43,-108.17,CO
Mc Clure Pass,07K09S,SNTL,9500,39.13,-107.29,CO
Mc Intyre,05J15,SNOW,9100,40.78,-105.93,CO
Mc Kenzie Gulch,06K28,SNOW,8500,39.5,-106.75,CO
Mccoy Park,06K44S,SNTL,9480,39.6,-106.54,CO
Medano Pass,05M16S,SNTL,9649,37.85,-105.44,CO
Mesa Lakes,08K04,SNOW,10000,39.05,-108.08,CO
Mesa Lakes,08K04S,SNTL,10000,39.06,-108.06,CO
Michigan Creek,05K28S,SNTL,10600,39.44,-105.91,CO
Middle Creek,07M21S,SNTL,11250,37.62,-107.03,CO
Middle Fork Camp,06K12S,SNTL,8940,39.8,-106.03,CO
Middle Fork Campground,06K12,SNOW,9000,39.78,-106.02,CO
Milner Pass,05J24,SNOW,9750,40.4,-105.83,CO
Mineral Creek,07M14S,SNTL,10040,37.85,-107.73,CO
Molas Lake,07M12S,SNTL,10500,37.75,-107.69,CO
Monarch Offshoot,06L09,SNOW,10500,38.52,-106.33,CO
Moon Pass,06M26S,SNTL,11140,37.97,-106.56,CO
Mosquito Creek,06K34,SNOW,10980,39.28,-106.13,CO
Nast Lake,06K06,SNOW,8700,39.3,-106.6,CO
Nast Lake,06K06S,SNTL,8700,39.3,-106.61,CO
Never Summer,06J27S,SNTL,10280,40.4,-105.96,CO
Niwot,05J42S,SNTL,9910,40.04,-105.54,CO
North Inlet Grand Lake,05J09,SNOW,9000,40.28,-105.77,CO
North Lost Trail,07K01S,SNTL,9200,39.08,-107.14,CO
North Mountain,08M09,SNOW,9360,37.93,-108.4,CO
Overland Res.,07K14S,SNTL,9840,39.09,-107.63,CO
Park Cone,06L02,SNOW,9600,38.82,-106.58,CO
Park Cone,06L02S,SNTL,9600,38.82,-106.59,CO
Park Reservoir,07K06S,SNTL,9960,39.05,-107.87,CO
Park View,06J02,SNOW,9160,40.37,-106.1,CO
Phantom Valley,05J04S,SNTL,9030,40.4,-105.85,CO
Pinos Mill,06M24,SNOW,10000,37.05,-106.42,CO
Platoro,06M09,SNOW,9880,37.35,-106.55,CO
Pool Table Mountain,06M14,SNOW,9840,37.8,-106.8,CO
Porcupine,07M20,SNOW,10280,37.85,-107.17,CO
Porphyry Creek,06L03,SNOW,10760,38.48,-106.33,CO
Porphyry Creek,06L03S,SNTL,10760,38.49,-106.34,CO
Rabbit Ears,06J09S,SNTL,9400,40.37,-106.74,CO
Ranch Creek,05K18,SNOW,9400,39.93,-105.73,CO
Rawah,06J20S,SNTL,9020,40.71,-106.01,CO
Red Feather,05J20,SNOW,9000,40.82,-105.65,CO
Red Mountain Pass,07M33S,SNTL,11200,37.89,-107.71,CO
Rio Blanco,07J01,SNOW,8500,40.03,-107.28,CO
Ripple Creek,07J05S,SNTL,10340,40.11,-107.29,CO
Roach,06J12S,SNTL,9700,40.88,-106.05,CO
Rough And Tumble,06K43S,SNTL,10360,39.03,-106.08,CO
Saint Elmo,06L05,SNOW,10400,38.7,-106.37,CO
Saint Elmo,06L05S,SNTL,10540,38.7,-106.37,CO
Santa Maria,07M17,SNOW,9600,37.82,-107.12,CO
Sargents Mesa,06L13S,SNTL,11530,38.29,-106.37,CO
Sawtooth,05J45,SNOW,9740,40.13,-105.58,CO
Sawtooth,05J45S,SNTL,9620,40.14,-105.59,CO
Schofield Pass,07K11S,SNTL,10700,39.02,-107.05,CO
Scotch Creek,08M08S,SNTL,9100,37.65,-108.01,CO
Sharkstooth,08M04S,SNTL,10720,37.5,-108.11,CO
Shrine Pass,06K09,SNOW,10700,39.53,-106.22,CO
Silver Lakes,06M04,SNOW,9500,37.38,-106.4,CO
Slumgullion,07M30S,SNTL,11440,37.99,-107.2,CO
Snake River,05K16,SNOW,10000,39.63,-105.9,CO
South Colony,05M13S,SNTL,10800,37.97,-105.54,CO
Spud Mountain,07M11S,SNTL,10660,37.7,-107.78,CO
Stillwater Creek,05J12S,SNTL,8720,40.23,-105.92,CO
Stump Lakes,07M34S,SNTL,11200,37.48,-107.63,CO
Summit Ranch,06K14S,SNTL,9400,39.72,-106.16,CO
Sundance,05K22,SNOW,11100,39.57,-105.73,CO
Telluride,07M02,SNOW,8800,37.93,-107.8,CO
Tennessee Pass #2,06K25,SNOW,10280,39.35,-106.35,CO
Tower,06J29S,SNTL,10500,40.54,-106.68,CO
Trapper Lake,07K13S,SNTL,9700,40,-107.24,CO
Trinchera,05M08S,SNTL,10860,37.35,-105.23,CO
Trout Creek Pass,06L12,SNOW,9720,38.92,-106.05,CO
Trout Lake #2,07M28,SNOW,9780,37.83,-107.88,CO
Twin Lakes Tunnel,06K03,SNOW,10450,39.08,-106.53,CO
University Camp,05J08,SNOW,10300,40.03,-105.57,CO
University Camp,05J08S,SNTL,10300,40.03,-105.58,CO
Upper Rio Grande,07M16S,SNTL,9400,37.72,-107.26,CO
Upper San Juan,06M03,SNOW,10200,37.48,-106.83,CO
Upper San Juan,06M03S,SNTL,10200,37.49,-106.84,CO
Upper Taylor,06L14S,SNTL,10640,38.99,-106.75,CO
Ute Creek,05M17,SNOW,10650,37.62,-105.37,CO
Ute Creek,05M17S,SNTL,10650,37.61,-105.37,CO
Vail Mountain,06K39S,SNTL,10300,39.62,-106.38,CO
Vallecito,07M31S,SNTL,10880,37.49,-107.51,CO
Vasquez,05K19,SNOW,9600,39.85,-105.82,CO
Wager Gulch,07M37S,SNTL,11100,37.88,-107.36,CO
Ward,05J21,SNOW,9500,40.07,-105.52,CO
Weminuche Creek,07M36S,SNTL,10740,37.52,-107.32,CO
Weston,06K26,SNOW,9300,39.07,-106.02,CO
Whiskey Ck,05M14S,SNTL,10220,37.21,-105.12,CO
Wild Basin,05J05,SNOW,9600,40.2,-105.6,CO
Wild Basin,05J05S,SNTL,9560,40.2,-105.6,CO
Willow Creek Pass,06J05,SNOW,9540,40.35,-106.1,CO
Willow Creek Pass,06J05S,SNTL,9540,40.35,-106.09,CO
Willow Park,05J40S,SNTL,10700,40.43,-105.73,CO
Winfield Middle,06K50,SNOW,10340,38.98,-106.45,CO
Wolf Creek Summit,06M17S,SNTL,11000,37.48,-106.8,CO
Wurtz Lower,06K51,SNOW,10690,39.39,-106.36,CO
Wurtz Middle,06K52,SNOW,10436,39.41,-106.37,CO
Yampa View,06J10,SNOW,8200,40.37,-106.77,CO
Zirkel,06J19S,SNTL,9340,40.79,-106.6,CO
